,class,details
0,0111," Growing of cereals (except rice), leguminous crops and oil seeds This class includes all forms of growing of cereals, leguminous crops and oil seeds in open fields, including those considered organic farming and the growing of genetically modified crops. The growing of these crops is often combined within agricultural units This class excludes: - growing of maize for fodder, see 0119 Growing of wheat Growing of jowar, bajra and millets Growing of other cereals Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds Growing of mustard oil seed Growing of groundnut oil seed Growing of sunflower oil seed Growing of soya bean oil seed Growing of other oil seeds"
1,0112," Growing of rice This class includes the growing of rice, including organic farming and the growing of genetically modified rice. Organic farming of basmati rice Organic farming of non-basmati rice Inorganic farming of basmati rice Inorganic farming of non-basmati rice"
2,0113," Growing of vegetables and melons, roots and tubers This class excludes: - growing of mushroom spawn, see 0130 #NAME? aromatic crops, see 0128 Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, spinach and other leafy or stem vegetables Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes , melons and other fruit-bearing vegetables Growing of onion Growing of carrots, beets,turnips, garlic, leeks and other root, bulb vegetables(onion excluded) Growing of potatoes and other tubers such as sweet potatoes, cassava, yams Growing of mushrooms and truffles Growing of vegetable seeds (except beet seed) Growing of vegetables, n.e.c."
3,0114," Growing of sugar cane This class excludes: - growing of sugar beet, see 0113 Growing of sugar cane"
4,0115, Growing of tobacco This class includes growing of unmanufactured (cured stemmed/stripped) tobacco Growing of tobacco
5,0116, Growing of fibre crops Growing of cotton Growing of jute Growing of other fibre crops
6,0119," Growing of other non-perennial crop This class excludes: - growing of non-perennial spice, aromatic, drug and pharmaceutical crops, see 0128 Growing of rose Growing of gladiolus Growing of other flowers, including production of cut flowers, flower buds and flower seeds Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
7,0121," Growing of grapes This class includes growing of wine grapes and table grapes in vineyards This class excludes: - manufacture of wine, see 1102 Growing of grapes"
8,0122, Growing of tropical and subtropical fruits Growing of mangoes Growing of bananas Growing of pineapples Growing of lichchis Growing of guava Growing of other tropical and sub tropical fruits
9,0123, Growing of citrus fruits Growing of oranges Growing of mousambi (grape fruit) Growing of lemons and lime Growing of other citrus fruits
10,0124," Growing of pome fruits and stone fruits Growing of apples Growing of appricots, peaches and nectarines Growing of cherries and sour cherries Growing of other pome fruits and stone fruits"
11,0125," Growing of other tree and bush fruits and nuts This class excludes: - growing of coconuts, see 0126 Growing of strawberries and other berries Growing of edible nuts (almonds, cashew nuts, chestnuts,hazelnuts pistachios, walnuts and other nuts) Growing of other tree and bush fruits, n.e.c."
12,0126," Growing of oleaginous fruits This class excludes: - growing of soya beans, groundnuts and other oil seeds, see 0111 Growing of coconut Growing of olives and oil palms Growing of other oleaginous fruits"
13,0127, Growing of beverage crops Growing of tea Growing of coffee Growing of cocoa Growing of other beverage crops
14,0128," Growing of spices, aromatic, drug and pharmaceutical crops Growing of ginger Growing of chili Growing of cardamoms Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops) Growing of drug and narcotic crops Growing of plants used primarily in perfumery, in pharmacyor for insecticidal, fungicidal or similar purposes Growing of heena leaves (mehendi)"
15,0129," Growing of other perennial crops This class excludes: - gathering of tree sap or rubber-like gums in the wild, see 0230 Growing of rubber trees Growing of trees for extraction of sap Growing of bamboo and cane Growing of other perennial crops, n.e.c."
16,0130," plant propagation This class includes the production of all vegetative plantingmaterials including cuttings, suckers and seedlings for direct plant propagation or to create plant grafting stock into which selected scion is grafted for eventual planting to produce crops. This class excludes: - operation of forest tree nurseries, see 0210 Growing of plants for planting"
17,0141," raising of cattle and buffaloes This class excludes: - processing of milk, see 1050 Raising and breeding of cattle and buffaloes Production of milk from cows or buffaloes Production of bovine semen"
18,0142," raising of horses and other equines This class includes raising and breeding of horses, asses, mules or hinnies This class excludes: - operation of racing and riding stables, see 9319"
19,0143, raising and breeding of camels and camelids This class includes raising and breeding of camels (dromedary) and camelids Raising and breeding of camels and camelids
20,0144," raising of sheep and goats This class excludes: - sheep shearing on a fee or contract basis, see 0162 - production of pulled wool, see 1010 - processing of milk, see 1050 Raising and breeding of sheep and goats Production of milk from sheep or goat Production of raw wool"
21,0145, raising of swine/pigs Raising of swine/pigs (including breeding of swine/pigs)
22,0146," raising of poultry This class excludes: - production of feathers or down, see 1010 Raising and breeding of chickens and capons, ducks, geese, turkeys and guinea fowls chickens and capons, ducks, geese, turkeys and guinea fowls Production of eggs Operation of poultry hatcheries"
23,0149," raising of other animals This class excludes: #NAME? 170 - operation of frog farms, crocodile farms, marine worm farms, see 0321, 322 - operation of fish farms, see 0321, 0322 - training of pet animals, see 9609 Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.) Bee-keeping and production of honey and beeswax Raising of silk worms, production of silk worm cocoons Raising of other animals, n.e.c."
24,0150," mixed farming This class includes the combined production of crops and animals without a specialized production of crops or animals. The size of the overall farming operation is not a determining factor. If either production of crops or animals in a given unit exceeds 66 per cent or more of standard gross margins, the combined activity should not be included here, but allocated to crop or animal farming. This class excludes: - mixed crop farming, see groups 011 and 012 - mixed animal farming, see group 014 Mixed farming"
25,0161," Support activities for crop production This class excludes: - post-harvest crop activities, see 0163 - activities of agronomists and agricultural economists, see 7490 - landscape architecture, see 7110 - landscape gardening, planting, see 8130 - maintenance of land to keep it in good ecological condition, see 8130 - organization of agricultural shows and fairs, see 8230 nan Agricultural activities on a fee or contract basis (preparation of fields, establishing a crop, treatment of crops, crop spraying, trimming of fruit trees and vines, transplanting of rice, thinning of beets, harvesting, pest control in connection with agriculture etc.) Operation of agricultural irrigation equipment Other supporting activities including agricultural gardening (excluding parks and gardening activities),n.e.c."
26,0162," Support activities for animal production This class includes agricultural activities on a fee or contract basis such as activities to promote propagation, growth and output of animals, herd testing services, droving services, agistment services, poultry caponizing, coop cleaning etc. activities related to artificial insemination, stud services, sheep shearing, farm animal boarding and care, activities of farriers This class excludes: - provision of space for animal boarding only, see 6810 - veterinary activities, see 7500 - vaccination of animals, see 7500 - renting of animals (e.g. herds), see 7730 - service activities to promote commercial hunting and trapping, see 9499 - pet boarding, see 9609 Support activities for animal production"
27,0163," post-harvest crop activities This class excludes: #NAME? class in groups 011 or 012 - stemming and redrying of tobacco, see 1200 - marketing activities of commission merchants and cooperative associations, see division 46 - wholesale of agricultural raw materials, see 4620 Preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting Cotton ginning, cleaning and bailing Preparation of tobacco leaves Other post harvest crop activities, n.e.c."
28,0164," Seed processing for propagation This class includes all post-harvest activities aimed at improving the propagation quality of seed through the removal of non-seed materials, undersized, mechanically or insect-damaged and immature seeds as well as removing the seed moisture to a safe level for seed storage. This activity includes the drying, cleaning, grading and treating of seeds until they are marketed. The treatment of genetically modified seeds is included here. This class excludes: - growing of seeds, see groups 011 and 012 - processing of seeds to obtain oil, see 1040 - research to develop or modify new forms of seeds, see 7210 Seed processing for propagation"
29,0170," hunting, trapping and related service activities This class includes taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets, production of fur skins, reptile or bird skins from hunting or trapping activities This class excludes: #NAME? group 014 - raising of game animals on ranching operations, see 0149 - catching of whales, see 0311 - production of hides and skins originating from slaughterhouses, see 1010 - hunting for sport or recreation and related service activities, see 9319 - service activities to promote hunting and trapping, see 9499 Hunting, trapping and related service activities"
30,0210," Silviculture and other forestry activities This class excludes: - growing of Christmas trees, see 0129 - operation of tree nurseries, see 0130 - gathering of wild growing non-wood forest products, see 0230 - production of wood chips and particles, see 1610 Growing of standing timber (planting, replanting, transplanting, thinning and conserving of forests and timber tracts) Operation of forest tree nurseries Other foresty activities including growing of pulpwood,firewood etc"
31,0220," logging This class excludes: - growing of Christmas trees, see 0129 #NAME? and conserving of forests and timber tracts, see 0210 - gathering of wild growing non-wood forest products, see 0230 - production of wood chips and particles, see 1610 - production of charcoal through distillation of wood, see 2011  Gathering and preparation of fire wood  Logging camps and loggers primarily engaged in felling timber and producing wood in the rough such as pitprops, split poles, pickets, hewn railway ties  Production of charcoal in the forest (using traditional methods)  Other logging activities, n.e.c."
32,0230," Gathering of non-wood forest products This class excludes: - managed production of any of these products (except growing of cork trees), see division 01 - growing of mushrooms or truffles, see 0113 - growing of berries or nuts, see 0125 - gathering of fire wood, see 0220 - production of wood chips, see 1610  Gathering of tendu leaves  Gathering of lac, resins and rubber-like gums  Gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams, vegetable hair, eelgrass, mosses, lichens  Gathering of non-wood forest products, n.e.c."
33,0240," Support services to forestry This class excludes: - operation of forest tree nurseries, see 0210  Forestry service activities (forest management consulting services, forestry inventories, timber evaluation, forest pest control) Logging service activities such as transport of logs within the forest"
34,0311," Marine fishing This class excludes: #NAME? 170 #NAME? ashore, see 1020 - rental of pleasure boats with crew for sea and coastal water transport (e.g. for fishing cruises), see 5011 - fishing inspection, protection and patrol services, see 8423 - fishing practiced for sport or recreation and related services, see 9319 - operation of sport fishing preserves, see 9319 Fishing on a commercial basis including taking of marine crustaceans and molluscs in ocean and coastal waters Gathering of other marine organisms and materials such as natural pearls, sponges, coral and algae Activities of vessels engaged in fishing and in processing and preserving of fish"
35,0312," Freash water fishing This class excludes: - processing of fish, crustaceans and molluscs, see 1020 - fishing inspection, protection and patrol services, see 8423 - fishing practiced for sport or recreation and related services, see 9319 - operation of sport fishing preserves, see 9319 Fishing and taking of freshwater crustaceans and molluscs on a commercial basis in inland waters Taking and gathering of freshwater aquatic animals"
36,0321," marine aquaculture This class excludes: - frog farming, see 0322 - operation of sport fishing preserves, see 9319 Fish farming in sea water including farming of marine ornamental fish Culture of crustaceans, bivalves, other mollusks and other aquatic animals in sea water Growing of edible seaweeds Aquaculture activities in brackish waters and in salt water filled tanks or reservoirs Operation of fish hatcheries (marine) Other marine aquaculture, n.e.c."
37,0322," Freshwater aquaculture This class excludes: - aquaculture activities in salt water filled tanks and reservoirs, see 0321 - operation of sport fishing preserves, see 9319 Fish farming in freshwater including farming of freshwater ornamental fish Culture of freshwater crustaceans, bivalves, other mollusks and other aquatic animals Operation of fish hatcheries (fresh-water) Other freshwater aquaculture ctivities, n.e.c. nan"
38,0510," mining of hard coal This class excludes: - lignite mining, see 0520 - peat digging and agglomeration of peat, see 0892 - test drilling for coal mining, see 0990 - support activities for hard coal mining, see 0990 - coke ovens producing solid fuels, see 1910 - manufacture of hard coal briquettes, see 1920 #NAME? 4312 Opencast mining of hard coal Belowground mining of hard coal Cleaning, sizing, grading, pulverizing, compressing etc. of coal Other operations relating to mining and agglomeration of hard coal"
