,subclass,details
0,01111, Growing of wheat
1,01112," Growing of jowar, bajra and millets"
2,01113, Growing of other cereals
3,01114," Growing of pulses (dal) and other leguminous crops such as peas and beans, not used as oilseeds"
4,01115, Growing of mustard oil seed
5,01116, Growing of groundnut oil seed
6,01117, Growing of sunflower oil seed
7,01118, Growing of soya bean oil seed
8,01119, Growing of other oil seeds
9,01121, Organic farming of basmati rice
10,01122, Organic farming of non-basmati rice
11,01123, Inorganic farming of basmati rice
12,01124, Inorganic farming of non-basmati rice
13,01131," Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory, spinach and other leafy or stem vegetables"
14,01132," Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons, cantaloupes , melons and other fruit-bearing vegetables"
15,01133, Growing of onion
16,01134," Growing of carrots, beets,turnips, garlic, leeks and other root, bulb vegetables(onion excluded)"
17,01135," Growing of potatoes and other tubers such as sweet potatoes, cassava, yams"
18,01136, Growing of mushrooms and truffles
19,01137, Growing of vegetable seeds (except beet seed)
20,01139," Growing of vegetables, n.e.c."
21,01140, Growing of sugar cane
22,01150, Growing of tobacco
23,01161, Growing of cotton
24,01162, Growing of jute
25,01169, Growing of other fibre crops
26,01191, Growing of rose
27,01192, Growing of gladiolus
28,01193," Growing of other flowers, including production of cut flowers, flower buds and flower seeds"
29,01199," Growing of other non-perennial crops including beet seed and padding materials, n.e.c."
30,01210, Growing of grapes
31,01221, Growing of mangoes
32,01222, Growing of bananas
33,01223, Growing of pineapples
34,01224, Growing of lichchis
35,01225, Growing of guava
36,01229, Growing of other tropical and sub tropical fruits
37,01231, Growing of oranges
38,01232, Growing of mousambi (grape fruit)
39,01233, Growing of lemons and lime
40,01239, Growing of other citrus fruits
41,01241, Growing of apples
42,01242," Growing of appricots, peaches and nectarines"
43,01243, Growing of cherries and sour cherries
44,01249, Growing of other pome fruits and stone fruits
45,01251, Growing of strawberries and other berries
46,01252," Growing of edible nuts (almonds, cashew nuts, chestnuts,hazelnuts pistachios, walnuts and other nuts)"
47,01259," Growing of other tree and bush fruits, n.e.c."
48,01261, Growing of coconut
49,01262, Growing of olives and oil palms
50,01269, Growing of other oleaginous fruits
51,01271, Growing of tea
52,01272, Growing of coffee
53,01273, Growing of cocoa
54,01279, Growing of other beverage crops
55,01281, Growing of ginger
56,01282, Growing of chili
57,01283, Growing of cardamoms
58,01284," Growing of perennial and non-perennial spices and aromatic crops (pepper, capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella), cloves, vanilla and other spices and aromatic crops)"
59,01285, Growing of drug and narcotic crops
60,01286," Growing of plants used primarily in perfumery, in pharmacyor for insecticidal, fungicidal or similar purposes"
61,01287, Growing of heena leaves (mehendi)
62,01291, Growing of rubber trees
63,01292, Growing of trees for extraction of sap
64,01293, Growing of bamboo and cane
65,01299," Growing of other perennial crops, n.e.c."
66,01301, Growing of plants for planting
67,01322," 1322 - manufacture of inflatable rubber mattresses, see 2219 - manufacture of furniture of ceramics, concrete and stone, see 2393, 2395,"
68,01410," 1410 - manufacture of plastic footwear parts, see 2220 #NAME? footwear parts, see 2219 - manufacture of wooden shoe parts (e.g. heels and lasts), see 1629"
69,01411, Raising and breeding of cattle and buffaloes
70,01412, Production of milk from cows or buffaloes
71,01413, Production of bovine semen
72,01430, Raising and breeding of camels and camelids
73,01441, Raising and breeding of sheep and goats
74,01442, Production of milk from sheep or goat
75,01443, Production of raw wool
76,01450, Raising of swine/pigs (including breeding of swine/pigs)
77,01461," Raising and breeding of chickens and capons, ducks, geese, turkeys and guinea fowls chickens and capons, ducks, geese, turkeys and guinea fowls"
78,01462, Production of eggs
79,01463, Operation of poultry hatcheries
80,01491," Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)"
81,01492, Bee-keeping and production of honey and beeswax
82,01493," Raising of silk worms, production of silk worm cocoons"
83,01499," Raising of other animals, n.e.c."
84,01500, Mixed farming
85,01512," 1512 - manufacture of articles of base metal plated with precious metal (except imitation jewellery), see division 25 - manufacture of watch cases, see 2652 - manufacture of (non-precious) metal watch bands, see 3212 - manufacture of imitation jewellery, see 3212"
86,01611," Agricultural activities on a fee or contract basis (preparation of fields, establishing a crop, treatment of crops, crop spraying, trimming of fruit trees and vines, transplanting of rice, thinning of beets, harvesting, pest control in connection with agriculture etc.)"
87,01612, Operation of agricultural irrigation equipment
88,01619," Other supporting activities including agricultural gardening (excluding parks and gardening activities),n.e.c."
89,01620, Support activities for animal production
90,01631," Preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting"
91,01632," Cotton ginning, cleaning and bailing"
92,01633, Preparation of tobacco leaves
93,01639," Other post harvest crop activities, n.e.c."
94,01640, Seed processing for propagation
95,01700," Hunting, trapping and related service activities"
96,01702," manufacture of corrugated paper and paperboard and containers of paper and paperboard This class excludes: - manufacture of envelopes, see 1709 - manufacture of moulded or pressed articles of paper pulp (e.g. boxes for packing eggs, moulded pulp paper plates), see 1709"
97,01709," 1709 - manufacture of coated or impregnated paper,wherethe coatingor impregnant is the main ingredient, see class in which the manufacture of the coating or impregnant is classified - manufacture of abrasive paper, see 2399 - manufacture of cork life preservers, see 3290"
98,01820," 1820 #NAME? computers and peripherals, see 2610 - manufacture of internal/external computer modems, see 2610 - manufacture of interface cards, modules and assemblies, see 2610 - manufacture of modems, carrier equipment, see 2630 #NAME? equipment (e.g. bridges, routers, gateways), see 2630 #NAME? players, see 2640 - manufacture of television monitors and displays, see 2640 - manufacture of video game consoles, see 2640 #NAME? or other devices, see 2680 1820 #NAME? 1820"
99,01920," 1920 - operation of pipelines, see 4930 1920 - manufacture of industrial gases, see 2011 - operation of pipelines, see 4930"
100,02101," Growing of standing timber (planting, replanting, transplanting, thinning and conserving of forests and timber tracts)"
101,02102, Operation of forest tree nurseries
102,02109," Other foresty activities including growing of pulpwood,firewood etc"
103,02201,  Gathering and preparation of fire wood
104,02202,"  Logging camps and loggers primarily engaged in felling timber and producing wood in the rough such as pitprops, split poles, pickets, hewn railway ties"
105,02203,  Production of charcoal in the forest (using traditional methods)
106,02209,"  Other logging activities, n.e.c."
107,02219, 2219 #NAME?
108,02220," 2220 2220 - manufacture of batteries for vehicles, see 2720 - manufacture of lighting equipment for motor vehicles, see 2740 - manufacture of pistons, piston rings and carburetors, see 2811 - manufacture of pumps for motor vehicles and engines, see 2813 - maintenance, repair and alteration of motor vehicles, see 4520"
109,02301,  Gathering of tendu leaves
110,02302,"  Gathering of lac, resins and rubber-like gums"
111,02303,"  Gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams, vegetable hair, eelgrass, mosses, lichens"
112,02309,"  Gathering of non-wood forest products, n.e.c."
113,02396," 2396 - manufacture of lighting fittings or lamps, see 2740 - blackboards, see 2817 - manufacture of car seats, railway seats, aircraft seats, see 2930, 3020,"
114,02401,"  Forestry service activities (forest management consulting services, forestry inventories, timber evaluation, forest pest control)"
115,02402, Logging service activities such as transport of logs within the forest
116,02420, 2420
117,02593," 2593 - manufacture of machines for forming foundry moulds, see 2829"
118,02610," 2610 #NAME? instruments, see 2651 #NAME? snap switches, see 2733 - manufacture of electric welding and soldering equipment, see 2790 - manufacture of solid state inverters, rectifiers and converters, see 2790 - manufacture of turbine-generator sets, see 2811 #NAME? engines, see 2930"
119,02620," 2620 - manufacture of telephone answering machines, see 2630 - manufacture of paging equipment, see 2630 - manufacture of remote control devices (radio and infrared), see 2630 - manufacture of broadcast studio equipment such as reproduction equipment, transmitting and receiving antennas, commercial video cameras, see 2630 - manufacture of electronic games with fixed (non-replaceable) software, see 3240"
120,02651," 2651 - manufacture of air navigation systems, see 2651 - manufacture of lighting equipment for aircraft, see 2740 #NAME? combustion engines, see 2790 - manufacture of pistons, piston rings and carburetors, see 2811 #NAME? equipment, see 2829"
121,02670, 2670
122,02710," 2710 - manufacture of prime mover generator sets (except turbine generator sets), see 2710 #NAME? engines, see 2790 #NAME? 2910, 3030, 3091 - manufacture of turbojets and turbo propellers, see 3030"
123,02733," 2733 - manufacture of ceiling fans or bath fans with integrated lighting fixtures, see 2750 #NAME? pedestrian signalling equipment, see 2790"
124,02790," 2790 - manufacture of power-driven hand tools, see 2818 - manufacture of machinery used in metal mills or foundries, see 2823 - manufacture of machinery for mining and quarrying, see 2824"
125,02813," 2813 - manufacture of mechanical transmission equipment, see 2814"
126,02821, 2821
127,02824," 2824 - manufacture of industrial robots for multiple uses, see 2829 - manufacture of floating cranes, railway cranes, crane-lorries, see 3011,"
128,02829," 2829 - manufacture of medical, surgical or laboratory sterilizers, see 3250 - manufacture of (dental) laboratory furnaces, see 3250"
129,02930," 2930 - manufacture of vehicles drawn by animals, see 3099"
130,03020," 3020 - installation of lifts and elevators, see 4329"
131,03030," 3030 - modular furniture attachment and installation, partition installation, laboratory equipment furniture installation, see 4330"
132,03111, Fishing on a commercial basis including taking of marine crustaceans and molluscs in ocean and coastal waters
133,03112," Gathering of other marine organisms and materials such as natural pearls, sponges, coral and algae"
134,03113, Activities of vessels engaged in fishing and in processing and preserving of fish
135,03121, Fishing and taking of freshwater crustaceans and molluscs on a commercial basis in inland waters
136,03122, Taking and gathering of freshwater aquatic animals
137,03211, Fish farming in sea water including farming of marine ornamental fish
138,03212," Culture of crustaceans, bivalves, other mollusks and other aquatic animals in sea water"
139,03213, Growing of edible seaweeds
140,03214, Aquaculture activities in brackish waters and in salt water filled tanks or reservoirs
141,03215, Operation of fish hatcheries (marine)
142,03219," Other marine aquaculture, n.e.c."
143,03221, Fish farming in freshwater including farming of freshwater ornamental fish
144,03222," Culture of freshwater crustaceans, bivalves, other mollusks and other aquatic animals"
145,03223, Operation of fish hatcheries (fresh-water)
146,03229," Other freshwater aquaculture ctivities, n.e.c."
147,03250, 3250
148,03315," 3315 - ship-breaking, see 3830 - interior installation of boats, see 4330"
149,03812, 3812
150,03900," 3900 3900 - reprocessing of nuclear fuels, see 2011"
151,04210," Construction roads and railways This class excludes: - installation of street lighting and electrical signals, see 4321 - architectural and engineering activities, see 7110 #NAME?"
152,04312, 4312 4312
153,04530," 4530 - renting of motor vehicles with driver, see 4922 - renting of trucks with driver, see 4923 - renting of motor vehicles and trucks without driver, see 7710"
154,05101, Opencast mining of hard coal
155,05102, Belowground mining of hard coal
156,05103," Cleaning, sizing, grading, pulverizing, compressing etc. of coal"
157,05109, Other operations relating to mining and agglomeration of hard coal
158,05201, Opencast mining of lignite (brown coal)
159,05202, Belowground mining of lignite (brown coal)
160,05203," Washing, dehydrating, pulverizing, compressing of lignite"
161,05209, Other operations relating to mining and agglomeration of lignite
162,05911," 5911 - public-relations activities, see 7020 - market research, see 7320 - advertising photography, see 7420 - convention and trade show organizers, see 8230 - direct mailing activities (addressing, pre-sorting etc.), see 8299"
163,06101, Off shore extraction of crude petroleum
164,06102, On shore extraction of crude petroleum
165,06201, Offshore Extraction of natural gas 6201
166,06202, On shore Extraction of natural gas
167,07100, Mining of iron ores
168,07110, 7110 7110 7110
169,07210, Mining of uranium and thorium ores
