group,class,subclass,details,column5,column6,column7,column8,column9,column10,column11,column12
11,,,Growing of non-perennial crops,,,,,,,,
,111,,"Growing of cereals (except rice), leguminous crops and oil seeds",,,,,,,,
,,,"This class includes all forms of growing of cereals, leguminous crops and",,,,,,,,
,,,"oil seeds in open fields, including those considered organic farming and the",,,,,,,,
,,,growing of genetically modified crops. The growing of these crops is often,,,,,,,,
,,,combined within agricultural units,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- growing of maize for fodder, see 0119",,,,,,,,
,,1111,Growing of wheat,,,,,,,,
,,1112,"Growing of jowar, bajra and millets",,,,,,,,
,,1113,Growing of other cereals,,,,,,,,
,,1114,"Growing of pulses (dal) and other leguminous crops such as peas and beans,",,,,,,,,
,,,not used as oilseeds,,,,,,,,
,,1115,Growing of mustard oil seed,,,,,,,,
,,1116,Growing of groundnut oil seed,,,,,,,,
,,1117,Growing of sunflower oil seed,,,,,,,,
,,1118,Growing of soya bean oil seed,,,,,,,,
,,1119,Growing of other oil seeds,,,,,,,,
,112,,Growing of rice,,,,,,,,
,,,"This class includes the growing of rice, including organic farming and the",,,,,,,,
,,,growing of genetically modified rice.,,,,,,,,
,,1121,Organic farming of basmati rice,,,,,,,,
,,1122,Organic farming of non-basmati rice,,,,,,,,
,,1123,Inorganic farming of basmati rice,,,,,,,,
,,1124,Inorganic farming of non-basmati rice,,,,,,,,
,113,,"Growing of vegetables and melons, roots and tubers",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- growing of mushroom spawn, see 0130",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"aromatic crops, see 0128",,,,,,,,
,,1131,"Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory,",,,,,,,,
,,,spinach and other leafy or stem vegetables,,,,,,,,
,,1132,"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons,",,,,,,,,
,,,"cantaloupes , melons and other fruit-bearing vegetables",,,,,,,,
,,1133,Growing of onion,,,,,,,,
,,1134,"Growing of carrots, beets,turnips, garlic, leeks and other root, bulb",,,,,,,,
,,,vegetables(onion excluded),,,,,,,,
,,1135,"Growing of potatoes and other tubers such as sweet potatoes, cassava,",,,,,,,,
,,,yams,,,,,,,,
,,1136,Growing of mushrooms and truffles,,,,,,,,
,,1137,Growing of vegetable seeds (except beet seed),,,,,,,,
,,1139,"Growing of vegetables, n.e.c.",,,,,,,,
,114,,Growing of sugar cane,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- growing of sugar beet, see 0113",,,,,,,,
,,1140,Growing of sugar cane,,,,,,,,
,115,,Growing of tobacco,,,,,,,,
,,,This class includes growing of unmanufactured (cured stemmed/stripped),,,,,,,,
,,,tobacco,,,,,,,,
,,1150,Growing of tobacco,,,,,,,,
,116,,Growing of fibre crops,,,,,,,,
,,1161,Growing of cotton,,,,,,,,
,,1162,Growing of jute,,,,,,,,
,,1169,Growing of other fibre crops,,,,,,,,
,119,,Growing of other non-perennial crop,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- growing of non-perennial spice, aromatic, drug and pharmaceutical crops,",,,,,,,,
,,,see 0128,,,,,,,,
,,1191,Growing of rose,,,,,,,,
,,1192,Growing of gladiolus,,,,,,,,
,,1193,"Growing of other flowers, including production of cut flowers, flower buds",,,,,,,,
,,,and flower seeds,,,,,,,,
,,1199,Growing of other non-perennial crops including beet seed and padding,,,,,,,,
,,,"materials, n.e.c.",,,,,,,,
12,,,Growing of perennial crops,,,,,,,,
,121,,Growing of grapes,,,,,,,,
,,,This class includes growing of wine grapes and table grapes in vineyards,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of wine, see 1102",,,,,,,,
,,1210,Growing of grapes,,,,,,,,
,122,,Growing of tropical and subtropical fruits,,,,,,,,
,,1221,Growing of mangoes,,,,,,,,
,,1222,Growing of bananas,,,,,,,,
,,1223,Growing of pineapples,,,,,,,,
,,1224,Growing of lichchis,,,,,,,,
,,1225,Growing of guava,,,,,,,,
,,1229,Growing of other tropical and sub tropical fruits,,,,,,,,
,123,,Growing of citrus fruits,,,,,,,,
,,1231,Growing of oranges,,,,,,,,
,,1232,Growing of mousambi (grape fruit),,,,,,,,
,,1233,Growing of lemons and lime,,,,,,,,
,,1239,Growing of other citrus fruits,,,,,,,,
,124,,Growing of pome fruits and stone fruits,,,,,,,,
,,1241,Growing of apples,,,,,,,,
,,1242,"Growing of appricots, peaches and nectarines",,,,,,,,
,,1243,Growing of cherries and sour cherries,,,,,,,,
,,1249,Growing of other pome fruits and stone fruits,,,,,,,,
,125,,Growing of other tree and bush fruits and nuts,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- growing of coconuts, see 0126",,,,,,,,
,,1251,Growing of strawberries and other berries,,,,,,,,
,,1252,"Growing of edible nuts (almonds, cashew nuts, chestnuts,",hazelnuts,,,,,,,
,,,"pistachios, walnuts and other nuts)",,,,,,,,
,,1259,"Growing of other tree and bush fruits, n.e.c.",,,,,,,,
,126,,Growing of oleaginous fruits,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- growing of soya beans, groundnuts and other oil seeds, see 0111",,,,,,,,
,,1261,Growing of coconut,,,,,,,,
,,1262,Growing of olives and oil palms,,,,,,,,
,,1269,Growing of other oleaginous fruits,,,,,,,,
,127,,Growing of beverage crops,,,,,,,,
,,1271,Growing of tea,,,,,,,,
,,1272,Growing of coffee,,,,,,,,
,,1273,Growing of cocoa,,,,,,,,
,,1279,Growing of other beverage crops,,,,,,,,
,128,,"Growing of spices, aromatic, drug and pharmaceutical crops",,,,,,,,
,,1281,Growing of ginger,,,,,,,,
,,1282,Growing of chili,,,,,,,,
,,1283,Growing of cardamoms,,,,,,,,
,,1284,"Growing of perennial and non-perennial spices and aromatic crops (pepper,",,,,,,,,
,,,"capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella),",,,,,,,,
,,,"cloves, vanilla and other spices and aromatic crops)",,,,,,,,
,,1285,Growing of drug and narcotic crops,,,,,,,,
,,1286,"Growing of plants used primarily in perfumery, in pharmacy",or for,,,,,,,
,,,"insecticidal, fungicidal or similar purposes",,,,,,,,
,,1287,Growing of heena leaves (mehendi),,,,,,,,
,129,,Growing of other perennial crops,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- gathering of tree sap or rubber-like gums in the wild, see 0230",,,,,,,,
,,1291,Growing of rubber trees,,,,,,,,
,,1292,Growing of trees for extraction of sap,,,,,,,,
,,1293,Growing of bamboo and cane,,,,,,,,
,,1299,"Growing of other perennial crops, n.e.c.",,,,,,,,
13,,,plant propagation,,,,,,,,
,130,,plant propagation,,,,,,,,
,,,This class includes the production of all vegetative planting,materials,,,,,,,
,,,"including cuttings, suckers and seedlings for direct plant propagation or to",,,,,,,,
,,,create plant grafting stock into which selected scion is grafted for eventual,,,,,,,,
,,,planting to produce crops.,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- operation of forest tree nurseries, see 0210",,,,,,,,
,,1301,Growing of plants for planting,,,,,,,,
14,,,animal production,,,,,,,,
,141,,raising of cattle and buffaloes,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- processing of milk, see 1050",,,,,,,,
,,1411,Raising and breeding of cattle and buffaloes,,,,,,,,
,,1412,Production of milk from cows or buffaloes,,,,,,,,
,,1413,Production of bovine semen,,,,,,,,
,142,,raising of horses and other equines,,,,,,,,
,,,"This class includes raising and breeding of horses, asses, mules or hinnies",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- operation of racing and riding stables, see 9319",,,,,,,,
,1420,,Raising of horses and other equines,,,,,,,,
,143,,raising and breeding of camels and camelids,,,,,,,,
,,,This class includes raising and breeding of camels (dromedary) and,,,,,,,,
,,,camelids,,,,,,,,
,,1430,Raising and breeding of camels and camelids,,,,,,,,
,144,,raising of sheep and goats,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- sheep shearing on a fee or contract basis, see 0162",,,,,,,,
,,,"- production of pulled wool, see 1010",,,,,,,,
,,,"- processing of milk, see 1050",,,,,,,,
,,1441,Raising and breeding of sheep and goats,,,,,,,,
,,1442,Production of milk from sheep or goat,,,,,,,,
,,1443,Production of raw wool,,,,,,,,
,145,,raising of swine/pigs,,,,,,,,
,,1450,Raising of swine/pigs (including breeding of swine/pigs),,,,,,,,
,146,,raising of poultry,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- production of feathers or down, see 1010",,,,,,,,
,,1461,"Raising and breeding of chickens and capons, ducks, geese, turkeys and",,,,,,,,
,,,"guinea fowls chickens and capons, ducks, geese, turkeys and guinea fowls",,,,,,,,
,,1462,Production of eggs,,,,,,,,
,,1463,Operation of poultry hatcheries,,,,,,,,
,149,,raising of other animals,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,170,170,,,,,,,,
,,,"- operation of frog farms, crocodile farms, marine worm farms, see 0321,",,,,,,,,
,,322,322,,,,,,,,
,,,"- operation of fish farms, see 0321, 0322",,,,,,,,
,,,"- training of pet animals, see 9609",,,,,,,,
,,1491,"Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)",,,,,,,,
,,1492,Bee-keeping and production of honey and beeswax,,,,,,,,
,,1493,"Raising of silk worms, production of silk worm cocoons",,,,,,,,
,,1499,"Raising of other animals, n.e.c.",,,,,,,,
15,,,mixed farming,,,,,,,,
,150,,mixed farming,,,,,,,,
,,,This class includes the combined production of crops and animals without a,,,,,,,,
,,,specialized production of crops or animals. The size of the overall farming,,,,,,,,
,,,operation is not a determining factor. If either production of crops or animals,,,,,,,,
,,,"in a given unit exceeds 66 per cent or more of standard gross margins, the",,,,,,,,
,,,"combined activity should not be included here, but allocated to crop or",,,,,,,,
,,,animal farming.,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- mixed crop farming, see groups 011 and 012",,,,,,,,
,,,"- mixed animal farming, see group 014",,,,,,,,
,,1500,Mixed farming,,,,,,,,
16,,,Support activities to agriculture and post-harvest crop activities,,,,,,,,
,161,,Support activities for crop production,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- post-harvest crop activities, see 0163",,,,,,,,
,,,"- activities of agronomists and agricultural economists, see 7490",,,,,,,,
,,,"- landscape architecture, see 7110",,,,,,,,
,,,"- landscape gardening, planting, see 8130",,,,,,,,
,,,"- maintenance of land to keep it in good ecological condition, see 8130",,,,,,,,
,,,"- organization of agricultural shows and fairs, see 8230",,,,,,,,
,,,,,,,,,,,
,,1611,"Agricultural activities on a fee or contract basis (preparation of fields,",,,,,,,,
,,,"establishing a crop, treatment of crops, crop spraying, trimming of fruit trees",,,,,,,,
,,,"and vines, transplanting of rice, thinning of beets, harvesting, pest control in",,,,,,,,
,,,connection with agriculture etc.),,,,,,,,
,,1612,Operation of agricultural irrigation equipment,,,,,,,,
,,1619,Other supporting activities including agricultural gardening (excluding,,,,,,,,
,,,"parks and gardening activities),n.e.c.",,,,,,,,
,162,,Support activities for animal production,,,,,,,,
,,,This class includes agricultural activities on a fee or contract basis such,,,,,,,,
,,,"as activities to promote propagation, growth and output of animals, herd",,,,,,,,
,,,"testing services, droving services, agistment services, poultry caponizing,",,,,,,,,
,,,"coop cleaning etc. activities related to artificial insemination, stud services,",,,,,,,,
,,,"sheep shearing, farm animal boarding and care, activities of farriers",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- provision of space for animal boarding only, see 6810",,,,,,,,
,,,"- veterinary activities, see 7500",,,,,,,,
,,,"- vaccination of animals, see 7500",,,,,,,,
,,,"- renting of animals (e.g. herds), see 7730",,,,,,,,
,,,"- service activities to promote commercial hunting and trapping, see 9499",,,,,,,,
,,,"- pet boarding, see 9609",,,,,,,,
,,1620,Support activities for animal production,,,,,,,,
,163,,post-harvest crop activities,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,,class in groups 011 or 012,,,,,,,,
,,,"- stemming and redrying of tobacco, see 1200",,,,,,,,
,,,"- marketing activities of commission merchants and cooperative associations,",,,,,,,,
,,,see division 46,,,,,,,,
,,,"- wholesale of agricultural raw materials, see 4620",,,,,,,,
,,1631,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading,",,,,,,,,
,,,disinfecting,,,,,,,,
,,1632,"Cotton ginning, cleaning and bailing",,,,,,,,
,,1633,Preparation of tobacco leaves,,,,,,,,
,,1639,"Other post harvest crop activities, n.e.c.",,,,,,,,
,164,,Seed processing for propagation,,,,,,,,
,,,This class includes all post-harvest activities aimed at improving the,,,,,,,,
,,,"propagation quality of seed through the removal of non-seed materials,",,,,,,,,
,,,"undersized, mechanically or insect-damaged and immature seeds as well as",,,,,,,,
,,,removing the seed moisture to a safe level for seed storage. This activity,,,,,,,,
,,,"includes the drying, cleaning, grading and treating of seeds until they are",,,,,,,,
,,,marketed. The treatment of genetically modified seeds is included here.,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- growing of seeds, see groups 011 and 012",,,,,,,,
,,,"- processing of seeds to obtain oil, see 1040",,,,,,,,
,,,"- research to develop or modify new forms of seeds, see 7210",,,,,,,,
,,1640,Seed processing for propagation,,,,,,,,
17,,,"hunting, trapping and related service activities",,,,,,,,
,170,,"hunting, trapping and related service activities",,,,,,,,
,,,"This class includes taking of animals (dead or alive) for food, fur, skin, or",,,,,,,,
,,,"for use in research, in zoos or as pets, production of fur skins, reptile or bird",,,,,,,,
,,,skins from hunting or trapping activities,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,,group 014,,,,,,,,
,,,"- raising of game animals on ranching operations, see 0149",,,,,,,,
,,,"- catching of whales, see 0311",,,,,,,,
,,,"- production of hides and skins originating from slaughterhouses, see 1010",,,,,,,,
,,,"- hunting for sport or recreation and related service activities, see 9319",,,,,,,,
,,,"- service activities to promote hunting and trapping, see 9499",,,,,,,,
,,1700,"Hunting, trapping and related service activities",,,,,,,,
21,,,Silviculture and other forestry activities,,,,,,,,
,210,,Silviculture and other forestry activities,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- growing of Christmas trees, see 0129",,,,,,,,
