,group,class,subclass,details,column5,column6,column7,column8,column9,column10,column11,column12
0,11,,,Growing of non-perennial crops,,,,,,,,
1,,111,,"Growing of cereals (except rice), leguminous crops and oil seeds",,,,,,,,
2,,,,"This class includes all forms of growing of cereals, leguminous crops and",,,,,,,,
3,,,,"oil seeds in open fields, including those considered organic farming and the",,,,,,,,
4,,,,growing of genetically modified crops. The growing of these crops is often,,,,,,,,
5,,,,combined within agricultural units,,,,,,,,
6,,,,This class excludes:,,,,,,,,
7,,,,"- growing of maize for fodder, see 0119",,,,,,,,
8,,,1111,Growing of wheat,,,,,,,,
9,,,1112,"Growing of jowar, bajra and millets",,,,,,,,
10,,,1113,Growing of other cereals,,,,,,,,
11,,,1114,"Growing of pulses (dal) and other leguminous crops such as peas and beans,",,,,,,,,
12,,,,not used as oilseeds,,,,,,,,
13,,,1115,Growing of mustard oil seed,,,,,,,,
14,,,1116,Growing of groundnut oil seed,,,,,,,,
15,,,1117,Growing of sunflower oil seed,,,,,,,,
16,,,1118,Growing of soya bean oil seed,,,,,,,,
17,,,1119,Growing of other oil seeds,,,,,,,,
18,,112,,Growing of rice,,,,,,,,
19,,,,"This class includes the growing of rice, including organic farming and the",,,,,,,,
20,,,,growing of genetically modified rice.,,,,,,,,
21,,,1121,Organic farming of basmati rice,,,,,,,,
22,,,1122,Organic farming of non-basmati rice,,,,,,,,
23,,,1123,Inorganic farming of basmati rice,,,,,,,,
24,,,1124,Inorganic farming of non-basmati rice,,,,,,,,
25,,113,,"Growing of vegetables and melons, roots and tubers",,,,,,,,
26,,,,This class excludes:,,,,,,,,
27,,,,"- growing of mushroom spawn, see 0130",,,,,,,,
28,,,,#NAME?,,,,,,,,
29,,,,"aromatic crops, see 0128",,,,,,,,
30,,,1131,"Growing of asparagus, cabbages, cauliflower, broccoli, lettuce, chicory,",,,,,,,,
31,,,,spinach and other leafy or stem vegetables,,,,,,,,
32,,,1132,"Growing of cucumbers, gherkins, aubergines, tomatoes, watermelons,",,,,,,,,
33,,,,"cantaloupes , melons and other fruit-bearing vegetables",,,,,,,,
34,,,1133,Growing of onion,,,,,,,,
35,,,1134,"Growing of carrots, beets,turnips, garlic, leeks and other root, bulb",,,,,,,,
36,,,,vegetables(onion excluded),,,,,,,,
37,,,1135,"Growing of potatoes and other tubers such as sweet potatoes, cassava,",,,,,,,,
38,,,,yams,,,,,,,,
39,,,1136,Growing of mushrooms and truffles,,,,,,,,
40,,,1137,Growing of vegetable seeds (except beet seed),,,,,,,,
41,,,1139,"Growing of vegetables, n.e.c.",,,,,,,,
42,,114,,Growing of sugar cane,,,,,,,,
43,,,,This class excludes:,,,,,,,,
44,,,,"- growing of sugar beet, see 0113",,,,,,,,
45,,,1140,Growing of sugar cane,,,,,,,,
46,,115,,Growing of tobacco,,,,,,,,
47,,,,This class includes growing of unmanufactured (cured stemmed/stripped),,,,,,,,
48,,,,tobacco,,,,,,,,
49,,,1150,Growing of tobacco,,,,,,,,
50,,116,,Growing of fibre crops,,,,,,,,
51,,,1161,Growing of cotton,,,,,,,,
52,,,1162,Growing of jute,,,,,,,,
53,,,1169,Growing of other fibre crops,,,,,,,,
54,,119,,Growing of other non-perennial crop,,,,,,,,
55,,,,This class excludes:,,,,,,,,
56,,,,"- growing of non-perennial spice, aromatic, drug and pharmaceutical crops,",,,,,,,,
57,,,,see 0128,,,,,,,,
58,,,1191,Growing of rose,,,,,,,,
59,,,1192,Growing of gladiolus,,,,,,,,
60,,,1193,"Growing of other flowers, including production of cut flowers, flower buds",,,,,,,,
61,,,,and flower seeds,,,,,,,,
62,,,1199,Growing of other non-perennial crops including beet seed and padding,,,,,,,,
63,,,,"materials, n.e.c.",,,,,,,,
64,12,,,Growing of perennial crops,,,,,,,,
65,,121,,Growing of grapes,,,,,,,,
66,,,,This class includes growing of wine grapes and table grapes in vineyards,,,,,,,,
67,,,,This class excludes:,,,,,,,,
68,,,,"- manufacture of wine, see 1102",,,,,,,,
69,,,1210,Growing of grapes,,,,,,,,
70,,122,,Growing of tropical and subtropical fruits,,,,,,,,
71,,,1221,Growing of mangoes,,,,,,,,
72,,,1222,Growing of bananas,,,,,,,,
73,,,1223,Growing of pineapples,,,,,,,,
74,,,1224,Growing of lichchis,,,,,,,,
75,,,1225,Growing of guava,,,,,,,,
76,,,1229,Growing of other tropical and sub tropical fruits,,,,,,,,
77,,123,,Growing of citrus fruits,,,,,,,,
78,,,1231,Growing of oranges,,,,,,,,
79,,,1232,Growing of mousambi (grape fruit),,,,,,,,
80,,,1233,Growing of lemons and lime,,,,,,,,
81,,,1239,Growing of other citrus fruits,,,,,,,,
82,,124,,Growing of pome fruits and stone fruits,,,,,,,,
83,,,1241,Growing of apples,,,,,,,,
84,,,1242,"Growing of appricots, peaches and nectarines",,,,,,,,
85,,,1243,Growing of cherries and sour cherries,,,,,,,,
86,,,1249,Growing of other pome fruits and stone fruits,,,,,,,,
87,,125,,Growing of other tree and bush fruits and nuts,,,,,,,,
88,,,,This class excludes:,,,,,,,,
89,,,,"- growing of coconuts, see 0126",,,,,,,,
90,,,1251,Growing of strawberries and other berries,,,,,,,,
91,,,1252,"Growing of edible nuts (almonds, cashew nuts, chestnuts,",hazelnuts,,,,,,,
92,,,,"pistachios, walnuts and other nuts)",,,,,,,,
93,,,1259,"Growing of other tree and bush fruits, n.e.c.",,,,,,,,
94,,126,,Growing of oleaginous fruits,,,,,,,,
95,,,,This class excludes:,,,,,,,,
96,,,,"- growing of soya beans, groundnuts and other oil seeds, see 0111",,,,,,,,
97,,,1261,Growing of coconut,,,,,,,,
98,,,1262,Growing of olives and oil palms,,,,,,,,
99,,,1269,Growing of other oleaginous fruits,,,,,,,,
100,,127,,Growing of beverage crops,,,,,,,,
101,,,1271,Growing of tea,,,,,,,,
102,,,1272,Growing of coffee,,,,,,,,
103,,,1273,Growing of cocoa,,,,,,,,
104,,,1279,Growing of other beverage crops,,,,,,,,
105,,128,,"Growing of spices, aromatic, drug and pharmaceutical crops",,,,,,,,
106,,,1281,Growing of ginger,,,,,,,,
107,,,1282,Growing of chili,,,,,,,,
108,,,1283,Growing of cardamoms,,,,,,,,
109,,,1284,"Growing of perennial and non-perennial spices and aromatic crops (pepper,",,,,,,,,
110,,,,"capsicum, nutmeg, mace, anise, badian and fennel, cinnamon (canella),",,,,,,,,
111,,,,"cloves, vanilla and other spices and aromatic crops)",,,,,,,,
112,,,1285,Growing of drug and narcotic crops,,,,,,,,
113,,,1286,"Growing of plants used primarily in perfumery, in pharmacy",or for,,,,,,,
114,,,,"insecticidal, fungicidal or similar purposes",,,,,,,,
115,,,1287,Growing of heena leaves (mehendi),,,,,,,,
116,,129,,Growing of other perennial crops,,,,,,,,
117,,,,This class excludes:,,,,,,,,
118,,,,"- gathering of tree sap or rubber-like gums in the wild, see 0230",,,,,,,,
119,,,1291,Growing of rubber trees,,,,,,,,
120,,,1292,Growing of trees for extraction of sap,,,,,,,,
121,,,1293,Growing of bamboo and cane,,,,,,,,
122,,,1299,"Growing of other perennial crops, n.e.c.",,,,,,,,
123,13,,,plant propagation,,,,,,,,
124,,130,,plant propagation,,,,,,,,
125,,,,This class includes the production of all vegetative planting,materials,,,,,,,
126,,,,"including cuttings, suckers and seedlings for direct plant propagation or to",,,,,,,,
127,,,,create plant grafting stock into which selected scion is grafted for eventual,,,,,,,,
128,,,,planting to produce crops.,,,,,,,,
129,,,,This class excludes:,,,,,,,,
130,,,,"- operation of forest tree nurseries, see 0210",,,,,,,,
131,,,1301,Growing of plants for planting,,,,,,,,
132,14,,,animal production,,,,,,,,
133,,141,,raising of cattle and buffaloes,,,,,,,,
134,,,,This class excludes:,,,,,,,,
135,,,,"- processing of milk, see 1050",,,,,,,,
136,,,1411,Raising and breeding of cattle and buffaloes,,,,,,,,
137,,,1412,Production of milk from cows or buffaloes,,,,,,,,
138,,,1413,Production of bovine semen,,,,,,,,
139,,142,,raising of horses and other equines,,,,,,,,
140,,,,"This class includes raising and breeding of horses, asses, mules or hinnies",,,,,,,,
141,,,,This class excludes:,,,,,,,,
142,,,,"- operation of racing and riding stables, see 9319",,,,,,,,
143,,1420,,Raising of horses and other equines,,,,,,,,
144,,143,,raising and breeding of camels and camelids,,,,,,,,
145,,,,This class includes raising and breeding of camels (dromedary) and,,,,,,,,
146,,,,camelids,,,,,,,,
147,,,1430,Raising and breeding of camels and camelids,,,,,,,,
148,,144,,raising of sheep and goats,,,,,,,,
149,,,,This class excludes:,,,,,,,,
150,,,,"- sheep shearing on a fee or contract basis, see 0162",,,,,,,,
151,,,,"- production of pulled wool, see 1010",,,,,,,,
152,,,,"- processing of milk, see 1050",,,,,,,,
153,,,1441,Raising and breeding of sheep and goats,,,,,,,,
154,,,1442,Production of milk from sheep or goat,,,,,,,,
155,,,1443,Production of raw wool,,,,,,,,
156,,145,,raising of swine/pigs,,,,,,,,
157,,,1450,Raising of swine/pigs (including breeding of swine/pigs),,,,,,,,
158,,146,,raising of poultry,,,,,,,,
159,,,,This class excludes:,,,,,,,,
160,,,,"- production of feathers or down, see 1010",,,,,,,,
